request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_100,30871.27,affordable_with_plan,installments,2024-06-13:12866.19;2024-07-14:12866.19;2024-08-14:12866.19,2024-08-14,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500,2025-11-03,,Pay 143500.00 today. The projected balance remains above the required minimum.
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88;2026-05-05:594.88;2026-06-04:594.88,2026-06-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_103,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_104,17204.00,affordable_now,full_payment,2025-02-04:17204,2025-02-04,,Pay 17204.00 today. The projected balance remains above the required minimum.
request_105,53500.00,affordable_now,full_payment,2026-06-08:53500,2026-06-08,,Pay 53500.00 today. The projected balance remains above the required minimum.
request_106,539.84,affordable_later,wait,2025-01-16:2207.7,2025-01-16,,Wait until 2025-01-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_107,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_108,5602.79,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_109,976.48,affordable_with_plan,installments,2024-03-18:645.98;2024-04-18:645.98;2024-05-19:645.98,2024-05-19,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_110,22352.00,affordable_with_plan,installments,2025-08-06:7748.69;2025-09-03:7748.69;2025-10-01:7748.69,2025-10-01,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_111,16625000.00,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,,Pay 16625000.00 today. The projected balance remains above the required minimum.
request_112,155.44,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_113,36500.00,affordable_now,full_payment,2026-09-04:36500,2026-09-04,,Pay 36500.00 today. The projected balance remains above the required minimum.
request_114,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_115,17378.84,affordable_later,wait,2024-10-14:80500,2024-10-14,,Wait until 2024-10-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_116,28663.98,affordable_later,wait,2025-04-15:241200,2025-04-15,,Wait until 2025-04-15 to make the full payment. Paying earlier would risk the required minimum balance.
request_117,880.00,affordable_now,full_payment,2026-07-05:880,2026-07-05,,Pay 880.00 today. The projected balance remains above the required minimum.
request_118,738.10,affordable_with_plan,installments,2024-12-07:255.87;2025-01-07:255.87;2025-02-07:255.87,2025-02-07,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_119,70473.18,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_120,7714000.00,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,,Pay 7714000.00 today. The projected balance remains above the required minimum.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,,Pay 633.60 today. The projected balance remains above the required minimum.
request_122,20558000.00,affordable_with_plan,installments,2025-08-05:7126773.33;2025-09-02:7126773.33;2025-09-30:7126773.33,2025-09-30,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_123,4076000.00,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,,Pay 4076000.00 today. The projected balance remains above the required minimum.
request_124,1436.47,affordable_with_plan,installments,2024-06-11:1076.12;2024-07-12:1076.12;2024-08-12:1076.12,2024-08-12,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_125,6468.00,affordable_now,full_payment,2025-11-06:6468,2025-11-06,,Pay 6468.00 today. The projected balance remains above the required minimum.
request_126,66459.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_127,16975.89,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_128,25168.00,affordable_now,full_payment,2025-02-07:25168,2025-02-07,,Pay 25168.00 today. The projected balance remains above the required minimum.
request_129,189.01,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_130,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_131,1382.16,affordable_with_plan,installments,2025-05-06:643.14;2025-06-03:643.14;2025-07-01:643.14,2025-07-01,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_132,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_133,5467535.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_134,7892246.83,affordable_later,wait,2025-09-13:21831000,2025-09-13,,Wait until 2025-09-13 to make the full payment. Paying earlier would risk the required minimum balance.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,,Pay 304.80 today. The projected balance remains above the required minimum.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,,Pay 560.40 today. The projected balance remains above the required minimum.
request_137,45701.60,affordable_later,wait,2025-11-14:80100,2025-11-14,,Wait until 2025-11-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_138,1209.90,affordable_with_plan,installments,2026-04-07:435.74;2026-05-05:435.74;2026-06-02:435.74,2026-06-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_139,2010.73,affordable_with_plan,installments,2024-09-07:802.88;2024-10-08:802.88;2024-11-08:802.88,2024-11-08,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_140,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_141,37222.85,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,,Pay 1263.60 today. The projected balance remains above the required minimum.
request_143,4424.95,affordable_later,wait,2025-06-16:12584,2025-06-16,,Wait until 2025-06-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_144,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_145,56855.19,affordable_with_plan,installments,2024-03-20:75365.33;2024-04-20:75365.33;2024-05-21:75365.33,2024-05-21,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_146,25557.20,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_147,661.38,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_148,13181.08,affordable_with_plan,installments,2024-06-14:7710.56;2024-07-15:7710.56;2024-08-15:7710.56,2024-08-15,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_149,28458.30,affordable_with_plan,installments,2025-11-18:12706.03;2025-12-16:12706.03;2026-01-13:12706.03,2026-01-13,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_150,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_151,26999000.00,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,,Pay 26999000.00 today. The projected balance remains above the required minimum.
request_152,13463.57,affordable_with_plan,installments,2025-02-12:4812.43;2025-03-12:4812.43;2025-04-09:4812.43,2025-04-09,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_153,320.64,affordable_later,wait,2026-09-13:2830.8,2026-09-13,,Wait until 2026-09-13 to make the full payment. Paying earlier would risk the required minimum balance.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61;2025-01-04:563.61;2025-02-04:563.61,2025-02-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_155,69531.26,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_156,11593.08,affordable_later,wait,2026-05-14:43076,2026-05-14,,Wait until 2026-05-14 to make the full payment. Paying earlier would risk the required minimum balance.
request_157,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_158,242600.00,affordable_with_plan,installments,2025-08-07:84101.33;2025-09-04:84101.33;2025-10-02:84101.33,2025-10-02,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_159,13398.00,affordable_now,full_payment,2026-01-04:13398,2026-01-04,,Pay 13398.00 today. The projected balance remains above the required minimum.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05;2024-07-14:432.05;2024-08-14:432.05,2024-08-14,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_161,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_162,5230315.27,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_163,13498162.00,affordable_with_plan,installments,2024-09-10:6692053.33;2024-10-11:6692053.33;2024-11-11:6692053.33,2024-11-11,,Use the recommended payment plan. All payments remain above the required minimum balance.
