request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.00,affordable_now,full_payment,2024-03-03:25256,2024-03-03,,Pay 25256.00 today. The projected balance remains above the required minimum.
request_02,21781760.25,affordable_with_plan,installments,2025-08-08:15952906.67;2025-09-07:15952906.67;2025-10-07:15952906.67,2025-10-07,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_03,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_04,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_05,15488.00,affordable_now,full_payment,2025-11-06:15488,2025-11-06,,Pay 15488.00 today. The projected balance remains above the required minimum.
request_06,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_07,103245.88,affordable_with_plan,installments,2024-09-12:68432;2024-10-10:68432;2024-11-07:68432,2024-11-07,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_08,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_09,166.60,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,,Pay 166.60 today. The projected balance remains above the required minimum.
request_10,264840.67,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_100,24179.79,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_101,143500.00,affordable_now,full_payment,2025-11-03:143500,2025-11-03,,Pay 143500.00 today. The projected balance remains above the required minimum.
request_102,1716.00,affordable_with_plan,installments,2026-04-05:594.88;2026-05-05:594.88;2026-06-04:594.88,2026-06-04,,Use the recommended payment plan. All payments remain above the required minimum balance.
request_103,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_104,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
request_105,53500.00,affordable_now,full_payment,2026-06-08:53500,2026-06-08,,Pay 53500.00 today. The projected balance remains above the required minimum.
request_106,539.84,affordable_later,wait,2025-01-16:2207.7,2025-01-16,,Wait until 2025-01-16 to make the full payment. Paying earlier would risk the required minimum balance.
request_107,0,not_affordable,not_recommended,,,,None of the available payment options keeps the required minimum balance protected across the forecast.
